date,text,compound,positive,negative,neutral,source,sentiment
2021-02-15 13:18:00+00:00,"Insider logo
The word ""Insider"".
Close icon
Two crossed lines that form an 'X'. It indicates a way to close an interaction, or dismiss a notification.
PremiumHomeChevron icon
It indicates an exp… [+6610 chars]",0.0,0.0,0.0,1.0,Business Insider,0
2021-02-23 18:22:37+00:00,"Apple held its annual shareholders meeting today, this time completely virtual due to the ongoing COVID-19 pandemic. During the event, Apple CEO Tim Cook took questions from investors on topics such … [+7233 chars]",0.0,0.0,0.0,1.0,9to5Mac,0
2021-02-24 17:40:50+00:00,"Institutional ownership of Apple stock remained close to an all-time high of 5.5% as 2020 came to an end, though large organizations still underweigh the stock, investment bank Morgan Stanley says.
… [+2110 chars]",0.0,0.0,0.0,1.0,AppleInsider,0
2021-02-25 10:58:00+00:00,"Insider logo
The word ""Insider"".
Close icon
Two crossed lines that form an 'X'. It indicates a way to close an interaction, or dismiss a notification.
PremiumHomeChevron icon
It indicates an exp… [+5521 chars]",0.0,0.0,0.0,1.0,Business Insider,0
2021-02-25 16:36:22+00:00,"Insider logo
The word ""Insider"".
Close icon
Two crossed lines that form an 'X'. It indicates a way to close an interaction, or dismiss a notification.
HomeChevron icon
It indicates an expandable… [+4431 chars]",0.0,0.0,0.0,1.0,9to5Mac,0
2021-02-27 19:19:39+00:00,"Warren Buffetts Berkshire Hathaway Inc. published its highly-anticipated annual letter this morning, offer details on the conglomerates investments in 2020. In this years letter, Buffett touted that … [+2582 chars]",-0.0516,0.0,0.041,0.959,Business Insider,0
2021-03-02 19:42:13+00:00,"This story originally appeared on StockNewsIn Hinduism and Buddhism, karma is the concept that a person’s actions in this and previous states of existence determine their fate in future existences. I… [+7494 chars]",0.0,0.0,0.0,1.0,AppleInsider,0
2021-03-03 05:44:12+00:00,"The Reddit forum that led the short squeeze in the shares of GameStop Corp (NYSE: GME) is buzzing with discussion on new short squeeze targets.
Here are the most discussed companies on r/WallStreetB… [+1698 chars]",0.296,0.061,0.0,0.939,Benzinga,1
2021-03-03 14:51:00+00:00,"Apple Inc. (NASDAQ:AAPL) is set to lose its top spot for U.S. podcast listenership to Spotify Technology S.A. (NASDAQ:SPOT) this year, according to a new market forecast by eMarketer.
eMarketers pro… [+1528 chars]",-0.2263,0.052,0.078,0.87,9to5Mac,0
2021-03-05 03:26:42+00:00,"Apple Inc (NASDAQ: AAPL) has clarified that the upcoming version of its iOS operating system for mobile phones does not contain settings to set a default music service, TechCrunch reported Thursday.
… [+1585 chars]",0.0,0.0,0.0,1.0,9to5Mac,0
2021-03-08 03:42:00+00:00,"Apple Inc. (NASDAQ: AAPL) has discontinued the iMac Pro and removed all build-to-order configurations for the product.
What Happened: The only iMac Pro model now available for purchase is the $4,999… [+1539 chars]",0.0,0.0,0.0,1.0,Business Insider,0
2021-03-08 21:06:43+00:00,"Apple's market capitalization closed below the $2 trillion threshold on Monday, after shares dropped more than 4% in intraday trading.
The Cupertino tech giant's valuation closed at $1.96 trillion. … [+1023 chars]",0.296,0.068,0.0,0.932,AppleInsider,1
2021-03-11 16:32:04+00:00,"As discussions between several traditional automakers and Apple have reportedly fizzled, industry experts think that the on-again-off-again Apple Car project could rely on a contract manufacturer to … [+4793 chars]",0.0,0.0,0.0,1.0,Business Insider,0
2021-03-14 10:37:00+00:00,"For years, comparisons between Apple and Tesla haven't merely been commonplace they've been expected. 
Some of this could be chalked up to timing. Apple co-founder and CEO Steve Jobs died in 2011, l… [+5195 chars]",-0.5574,0.0,0.096,0.904,Business Insider,0
2021-03-16 15:28:43+00:00,Apple could soon face a major test of how strictly it plans to enforce its forthcoming app privacy policies after it emerged that some of China's biggest tech companies are testing a solution to skir… [+6728 chars],0.3182,0.063,0.0,0.937,Business Insider,1
2021-03-24 23:04:36+00:00,"The Japanese investing conglomerate SoftBank, which has holdings in household names like Apple, Amazon, Tesla, Uber, DoorDash, and Sprint, is under investigation by the Securities and Exchange Commis… [+1339 chars]",0.6597,0.192,0.0,0.808,Business Insider,1
2021-03-27 12:21:00+00:00,"The single biggest problem with the Apple Car is that Apple has no idea how to manufacture an automobile. 
It's not ever clear that Apple knows how to so much as design a vehicle: The oft-rumored ve… [+6567 chars]",-0.7256,0.0,0.168,0.832,Business Insider,0
2021-03-30 14:36:23+00:00,"Apple will host WWDC entirely online for the second year in a row. 
The iPhone-maker announced Tuesday that its annual developers conference will take place from June 7 to June 11. The conference, w… [+1079 chars]",0.0,0.0,0.0,1.0,Business Insider,0
2021-03-31 14:41:15+00:00,"Investment bank UBS has upgraded AAPL to a ""Buy"" and raised its price target to $142, based on a stable iPhone backdrop and the possibility of Apple entering the car market.
In a note to investors s… [+2099 chars]",0.296,0.059,0.0,0.941,9to5Mac,1
2021-03-31 18:22:35+00:00,"Today, Apple was upgraded to a “buy” rating by analysts at UBS and given a $142 price, as reported by Business Insider.
UBS affirms the Apple stocks represent a potential 18% surge in the value of i… [+1199 chars]",0.34,0.064,0.0,0.936,9to5Mac,1
2021-04-05 15:15:41+00:00,"Tim Cook isn't buying Facebook's arguments against Apple's upcoming privacy changes.
In a new podcast interview with The New York Times' Kara Swisher, published Monday, the Apple CEO discussed Faceb… [+2503 chars]",0.3089,0.07,0.0,0.93,StockNews.com,1
2021-04-06 14:08:24+00:00,"Apple Services revenue is still growing strongly, says Morgan Stanley, but the performance of some of its competitors shows that the market is a tough one.
The bank has downgraded its price target f… [+2326 chars]",0.0387,0.079,0.048,0.873,Entrepreneur,0
2021-04-06 14:19:02+00:00,"Morgan Stanley has raised its 2021 and 2022 Apple Services revenue forecast, but has revised its AAPL price target down to $156 to reflect warier investor outlooks surrounding the company's peers.
I… [+2981 chars]",0.0,0.0,0.0,1.0,CNN,0
2021-04-06 15:13:00+00:00,"This article was translated from our Spanish edition using AI technologies. Errors may exist due to this process.
It was October 2013 when famous Wall Streetinvestor Carl Icahn began selling his sha… [+1587 chars]",-0.34,0.0,0.068,0.932,Business Insider,0
2021-04-07 13:38:53+00:00,"Reuters / Brendan McDermid
Apple, Microsoft, and Nuance Communications are the top three tech buys heading into earnings season, according to Wedbush.
In a note to clients on Wednesday, analyst Dan… [+2268 chars]",0.2023,0.057,0.0,0.943,StockNews.com,1
2021-04-07 14:16:59+00:00,"Wedbush analyst Dan Ives has said that now would be a good time to buy AAPL, naming it as the best investment among tech stocks that could climb 25-30% by the year end.
Wedbush recommends three tech… [+1861 chars]",0.8402,0.205,0.0,0.795,9to5Mac,1
2021-04-07 15:26:22+00:00,"With Apple predicted to sell a record-breaking 240 million iPhones in 2021, Wedbush has named AAPL one of its top technology stocks heading into the earnings report season.
In a note to investors se… [+2010 chars]",0.2023,0.052,0.0,0.948,CNN,1
2021-04-08 14:58:33+00:00,"Apple CEO Tim Cook.
Karl Mondon/Digital First Media/The Mercury News via Getty Images
Apple's current stock price doesn't reflect the tech giant's budding autonomous-vehicle ambitions, according to… [+2035 chars]",0.0,0.0,0.0,1.0,Business Insider,0
2021-04-09 13:17:30+00:00,"AAPL revenue grew a remarkable 21% in the holiday quarter, the company setting new records for both revenue and profit. One notable Apple analyst suggests that the good news is set to continue, and i… [+2079 chars]",0.9022,0.274,0.0,0.726,9to5Mac,1
