,compound,positive,negative,neutral,sentiment,Open,High,Low,Close,Adj Close,Volume,prev_close,Daily_returns,RSI
2021-01-26,0.0,0.0,0.0,1.0,0.0,143.600006,144.300003,141.369995,143.160004,142.70401,98390600,142.464767,0.0016793134543926502,100.0
2021-01-27,-0.12455,0.0455,0.08,0.8745,0.5,143.429993,144.300003,140.410004,142.059998,141.607513,140843800,142.70401,-0.007683715405054081,91.00572583703988
2021-01-28,0.35095,0.089,0.0,0.911,0.5,139.520004,141.990005,136.699997,137.089996,136.653336,142621100,141.607513,-0.03498526946095026,50.89002921352526
2021-01-29,0.35095,0.089,0.0,0.911,0.5,135.830002,136.740005,130.210007,131.960007,131.539673,177523800,136.653336,-0.03742069641095336,26.7495304539936
2021-02-01,0.1027,0.14,0.129,0.73,1.0,133.75,135.380005,130.929993,134.139999,133.712723,106239800,131.539673,0.016520111008638594,17.767980713918135
2021-02-02,0.1027,0.14,0.129,0.73,1.0,135.729996,136.309998,134.610001,134.990005,134.560028,83305400,133.712723,0.00633675674976697,21.293060152451616
2021-02-03,0.1027,0.14,0.129,0.73,1.0,135.759995,135.770004,133.610001,133.940002,133.513382,89880900,134.560028,-0.007778283161474775,21.36815688269856
2021-02-04,0.1027,0.14,0.129,0.73,1.0,136.300003,137.399994,134.589996,137.389999,136.952377,84183100,133.513382,0.025757680230136026,51.18482203045272
2021-02-05,0.6124,0.152,0.0,0.848,1.0,137.350006,137.419998,135.860001,136.759995,136.528091,75693800,136.952377,-0.0030980550268217,81.45170625710405
2021-02-08,0.6124,0.152,0.0,0.848,1.0,136.029999,136.960007,134.919998,136.910004,136.677841,71297200,136.528091,0.001096843872225639,75.09841743211669
2021-02-09,0.6124,0.152,0.0,0.848,1.0,136.619995,137.880005,135.850006,136.009995,135.779358,76774200,136.677841,-0.006573728363180709,60.23243753104993
2021-02-10,0.0,0.0,0.0,1.0,0.0,136.479996,136.990005,134.399994,135.389999,135.160416,73046600,135.779358,-0.004558439582546869,64.89058045123203
2021-02-11,0.0,0.0,0.0,1.0,0.0,135.899994,136.389999,133.770004,135.130005,134.900864,64280000,135.160416,-0.001920325548568802,6.369594723636595
2021-02-12,0.0,0.0,0.0,1.0,0.0,134.350006,135.529999,133.690002,135.369995,135.140442,60145100,134.900864,0.0017759560087027282,17.97198455434517
2021-02-16,0.0,0.0,0.0,1.0,0.0,135.490005,136.009995,132.789993,133.190002,132.964157,80576300,135.140442,-0.01610387658788337,5.713979069079556
2021-02-17,0.0,0.0,0.0,1.0,0.0,131.25,132.220001,129.470001,130.839996,130.618134,97918500,132.964157,-0.01764402567528034,4.24755069693876
2021-02-18,0.0,0.0,0.0,1.0,0.0,129.199997,130.0,127.410004,129.710007,129.490051,96856700,130.618134,-0.008636496062637056,3.895880671031037
2021-02-19,0.0,0.0,0.0,1.0,0.0,130.240005,130.710007,128.800003,129.869995,129.64978,87668800,129.490051,0.0012335233384068722,6.600445179246847
2021-02-22,0.0,0.0,0.0,1.0,0.0,128.009995,129.720001,125.599998,126.0,125.786346,103916400,129.64978,-0.029799001587198948,1.6511925193160408
2021-02-23,0.0,0.0,0.0,1.0,0.0,123.760002,126.709999,118.389999,125.860001,125.646584,158273000,125.786346,-0.0011111062881180578,2.09150650298524
2021-02-24,0.0,0.0,0.0,1.0,0.0,124.940002,125.559998,122.230003,125.349998,125.137444,111039900,125.646584,-0.004052159507973552,2.753878004492279
2021-02-25,0.0,0.0,0.0,1.0,0.0,124.68,126.459999,120.540001,120.989998,120.784836,148199500,125.137444,-0.03478261870204091,1.7699145442721118
2021-02-26,0.0,0.0,0.0,1.0,0.0,122.589996,124.849998,121.199997,121.260002,121.054382,164560400,120.784836,0.0022316211945678788,2.950859872855588
2021-03-01,0.0,0.0,0.0,1.0,0.0,123.75,127.93,122.790001,127.790001,127.573311,116307900,121.054382,0.05385124348493231,57.57831752966611
2021-03-02,0.0,0.0,0.0,1.0,0.0,128.410004,128.720001,125.010002,125.120003,124.907837,102260900,127.573311,-0.020893664819908953,47.41980079628675
2021-03-03,0.03484999999999999,0.056499999999999995,0.039,0.9045,0.5,124.809998,125.709999,121.839996,122.059998,121.85302,112966300,124.907837,-0.024456567925357664,40.26050901901589
2021-03-04,0.03484999999999999,0.056499999999999995,0.039,0.9045,0.5,121.75,123.599998,118.620003,120.129997,119.926292,178155000,121.85302,-0.015811901912648474,47.02627426536287
2021-03-05,0.0,0.0,0.0,1.0,0.0,120.980003,121.940002,117.57,121.419998,121.214104,153766600,119.926292,0.01073836252687621,50.516773911332905
2021-03-08,0.148,0.034,0.0,0.966,0.5,120.93,121.0,116.209999,116.360001,116.162689,154376600,121.214104,-0.041673492055017025,9.207703053414065
2021-03-09,0.148,0.034,0.0,0.966,0.5,119.029999,122.059998,118.790001,121.089996,120.884666,129525800,116.162689,0.040649687439656246,37.46109223550152
2021-03-10,0.148,0.034,0.0,0.966,0.5,121.690002,122.169998,119.449997,119.980003,119.776558,111943300,120.884666,-0.009166654768273053,42.63459099151249
2021-03-11,0.0,0.0,0.0,1.0,0.0,122.540001,123.209999,121.260002,121.959999,121.753189,103026500,119.776558,0.016502653215331176,56.45731783310594
2021-03-12,0.0,0.0,0.0,1.0,0.0,120.400002,121.169998,119.160004,121.029999,120.824768,88105100,121.753189,-0.0076254347637662034,48.5879863217431
2021-03-15,0.0,0.0,0.0,1.0,0.0,121.410004,124.0,120.419998,123.989998,123.779747,92403800,120.824768,0.02445673224880518,82.5790522523472
2021-03-16,0.3182,0.063,0.0,0.937,1.0,125.699997,127.220001,124.720001,125.57,125.357071,115227900,123.779747,0.012742989368042634,76.16830123774453
2021-03-17,0.3182,0.063,0.0,0.937,1.0,124.050003,125.860001,122.339996,124.760002,124.548447,111932600,125.357071,-0.006450565520951024,78.93464196307067
2021-03-18,0.3182,0.063,0.0,0.937,1.0,122.879997,123.18,120.32,120.529999,120.325615,121229700,124.548447,-0.03390513572601994,43.19696192783575
2021-03-19,0.3182,0.063,0.0,0.937,1.0,119.900002,121.43,119.68,119.989998,119.78653,185549500,120.325615,-0.004480218114821133,44.86165479740157
2021-03-22,0.3182,0.063,0.0,0.937,1.0,120.330002,123.870003,120.260002,123.389999,123.180771,111912300,119.78653,0.028335748602117405,47.15912551059529
2021-03-23,0.3182,0.063,0.0,0.937,1.0,123.330002,124.239998,122.139999,122.540001,122.332214,95467100,123.180771,-0.006888713174234007,34.58803369576853
2021-03-24,0.6597,0.192,0.0,0.808,1.0,122.82,122.900002,120.07,120.089996,119.88636,88530500,122.332214,-0.01999353988639485,29.642553134259074
2021-03-25,0.6597,0.192,0.0,0.808,1.0,119.540001,121.660004,119.0,120.589996,120.385513,98844700,119.88636,0.0041635512163351596,50.38759449144484
2021-03-26,0.6597,0.192,0.0,0.808,1.0,120.349998,121.480003,118.919998,121.209999,121.004463,94071200,120.385513,0.005141399364224197,57.80050738110779
2021-03-29,0.6597,0.192,0.0,0.808,1.0,121.650002,122.580002,120.730003,121.389999,121.184158,80819200,121.004463,0.001485027870418154,28.26086530469327
2021-03-30,0.0,0.0,0.0,1.0,0.0,120.110001,120.400002,118.860001,119.900002,119.696686,85671900,121.184158,-0.012274475678578312,24.80916147275427
2021-03-31,0.318,0.0615,0.0,0.9385,1.0,121.650002,123.519997,121.150002,122.150002,121.942871,118323800,119.696686,0.018765640679475393,70.43654370356093
2021-04-01,0.318,0.0615,0.0,0.9385,1.0,123.660004,124.18,122.489998,123.0,122.791428,75089100,121.942871,0.0069586437734436846,72.3562353148447
2021-04-05,0.3089,0.07,0.0,0.93,1.0,123.870003,126.160004,123.07,125.900002,125.686516,88651200,122.791428,0.023577280980884074,80.57368965927506
2021-04-06,-0.10043333333333333,0.026333333333333334,0.03866666666666667,0.935,0.0,126.5,127.129997,125.650002,126.209999,125.995987,80171300,125.686516,0.0024622450350999525,80.89745264180685
2021-04-07,0.4149333333333333,0.10466666666666667,0.0,0.8953333333333333,1.0,125.830002,127.919998,125.139999,127.900002,127.683121,83466700,125.995987,0.013390378853891605,100.0
2021-04-08,0.0,0.0,0.0,1.0,0.0,128.949997,130.389999,128.520004,130.360001,130.138947,88844600,127.683121,0.01923375604203792,100.0
2021-04-09,0.9022,0.274,0.0,0.726,1.0,129.800003,133.039993,129.470001,133.0,132.774475,106686700,130.138947,0.02025164688016101,100.0
2021-04-12,0.9022,0.274,0.0,0.726,1.0,132.520004,132.850006,130.630005,131.240005,131.017456,91420000,132.774475,-0.01323310824614432,80.1354056505286
2021-04-13,0.9022,0.274,0.0,0.726,1.0,132.440002,134.660004,131.929993,134.429993,134.202042,91266500,131.017456,0.02430657789600188,85.00848926710745
2021-04-14,0.9022,0.274,0.0,0.726,1.0,134.940002,135.0,131.660004,132.029999,131.806122,87222800,134.202042,-0.01785308154998133,66.58637516706048
2021-04-15,0.9022,0.274,0.0,0.726,1.0,133.820007,135.0,133.639999,134.5,134.271927,89347100,131.806122,0.018707818442606383,66.6131810492571
2021-04-16,0.0,0.0,0.0,1.0,0.0,134.300003,134.669998,133.279999,134.160004,133.93251,84922400,134.271927,-0.002527832940090291,55.70868523093405
2021-04-19,0.0,0.0,0.0,1.0,0.0,133.509995,135.470001,133.339996,134.839996,134.611343,94264200,133.93251,0.005068470679747472,69.82383371902944
2021-04-20,0.6249,0.16,0.0,0.84,1.0,135.020004,135.529999,131.809998,133.110001,132.884293,94812300,134.611343,-0.012829899483284946,41.338604776506
2021-04-21,0.2382,0.051,0.0,0.949,1.0,132.360001,133.75,131.300003,133.5,133.273621,68847100,132.884293,0.002929827078960834,63.10165660405194
2021-04-22,0.2382,0.051,0.0,0.949,1.0,133.039993,134.149994,131.410004,131.940002,131.716278,84566500,133.273621,-0.011685305676507496,22.765720418987726
